date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:30	8460/8460	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:29%20GMT	https://lipeteste.dramanucaceres.com.br/static/chunks/18681-08339c427856a9b9.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/static/chunks/18681-08339c427856a9b9f693.html	(from https://lipeteste.dramanucaceres.com.br/)
11:51:30	10524/10524	---M-Z	200	added ('OK')	text/javascript	etag:%226735cf65dc3a071bcce2a10ac81bf87d%22	https://scripts.converteai.net/0b355e97-0dac-4d83-88b0-c134b58ac241/players/6890c7443614ea4fa0b469f7/v4/player.js	/home/mcastro/websites/AntiLipedema/scripts.converteai.net/0b355e97-0dac-4d83-88b0-c134b58ac241/players/6890c7443614ea4fa0b469f7/v4/player.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:31	10521/10521	---M-Z	200	added ('OK')	text/javascript	etag:%220b6cc39f28690e48b3d6ca11d3304c2a%22	https://scripts.converteai.net/0b355e97-0dac-4d83-88b0-c134b58ac241/players/6890c706046e088eb87b9005/v4/player.js	/home/mcastro/websites/AntiLipedema/scripts.converteai.net/0b355e97-0dac-4d83-88b0-c134b58ac241/players/6890c706046e088eb87b9005/v4/player.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:33	36756/36756	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dbf4a5692b4833e577ccd806f8c9ad6%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	/home/mcastro/websites/AntiLipedema/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:34	190/190	---MCZ	403	error ('Forbidden')	application/xml	date:Mon,%2029%20Sep%202025%2014:51:33%20GMT	https://cdn.xquiz.co/robots.txt		(from https://lipeteste.dramanucaceres.com.br/)
11:51:35	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2029%20Sep%202025%2014:51:34%20GMT	https://fonts.googleapis.com/robots.txt		(from https://lipeteste.dramanucaceres.com.br/)
11:51:35	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Sep%202025%2014:51:35%20GMT	https://fonts.gstatic.com/robots.txt		(from https://lipeteste.dramanucaceres.com.br/)
11:51:36	40237/40237	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://lipeteste.dramanucaceres.com.br/_next/static/chunks/webpack-c57d87cb9f88f806.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/webpack-c57d87cb9f88f806f693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:36	172838/172838	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://lipeteste.dramanucaceres.com.br/_next/static/chunks/37537744-2821b0a7f04c02af.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/37537744-2821b0a7f04c02aff693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:36	124317/124317	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://lipeteste.dramanucaceres.com.br/_next/static/chunks/76621-2ae6f69b13c31fc1.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/76621-2ae6f69b13c31fc1f693.js	(from https://lipeteste.dramanucaceres.com.br/)
